sector,week,return_5d,return_10d,speech_count,return_time
Auto,2022-04-04/2022-04-10,-0.015996581217666547,0.0146023085629186,1,~1 Week
Auto,2022-04-18/2022-04-24,-0.0095450954852799,-0.0591170678915386,1,~2 Weeks
Auto,2022-05-02/2022-05-08,-0.017221944007875398,0.039942590613537804,1,1-2 Weeks
Auto,2022-05-23/2022-05-29,0.01733574143515805,0.013360891091338848,3,~1 Week
Auto,2022-05-30/2022-06-05,-0.0036159989886982756,-0.02113768365482695,2,~2 Weeks
Auto,2022-06-13/2022-06-19,0.0786336544180492,0.08713733092064685,2,~1 Week
Auto,2022-06-20/2022-06-26,0.01751216513580395,0.041799384374829024,2,1-2 Weeks
Auto,2022-07-04/2022-07-10,0.02759656534719595,0.0419567450691502,1,~1 Week
Auto,2022-07-11/2022-07-17,0.03261261225775275,0.0200231960197911,1,~1 Week
Auto,2022-07-18/2022-07-24,-0.0213630475434053,0.04555802333919285,1,1-2 Weeks
Auto,2022-07-25/2022-07-31,0.0175827159771834,0.04466906410466695,1,1-2 Weeks
Auto,2022-08-01/2022-08-07,0.0265921991463766,-0.0020854034127544994,1,~1 Week
Auto,2022-08-15/2022-08-21,-0.0240806531920543,0.007205271136806499,2,~1 Week
Auto,2022-08-22/2022-08-28,0.02541270873101185,0.0245151796884677,2,~1 Week
Auto,2022-08-29/2022-09-04,0.01623683788407645,0.01988089908743925,1,~1 Week
Auto,2022-09-05/2022-09-11,0.011928158965313218,0.027228023711457782,3,1-2 Weeks
Auto,2022-09-19/2022-09-25,-0.04262876449271295,-0.04101362266031035,1,~1 Week
Auto,2022-09-26/2022-10-02,0.005106587117510574,-0.007352263067864325,4,~1 Week
Auto,2022-10-03/2022-10-09,-0.00911657879808585,-0.00031038500526790004,3,~1 Week
Auto,2022-10-10/2022-10-16,0.0035582562638825626,0.039671459274263375,4,~2 Weeks
Auto,2022-10-17/2022-10-23,0.0632043367971065,0.051273152406171654,1,~1 Week
Auto,2022-10-24/2022-10-30,-0.01079281612960515,-0.022448899797869,1,1-2 Weeks
Auto,2022-10-31/2022-11-06,-0.01172568037687615,-0.0414208757041533,2,~2 Weeks
Auto,2022-11-07/2022-11-13,-0.01876470267738234,-0.02381072478789251,5,~1 Week
Auto,2022-11-14/2022-11-20,-0.01781057859848327,-0.0036270784270979895,9,~1 Week
Auto,2022-11-21/2022-11-27,0.006022836324441567,-0.01759344598989805,3,~2 Weeks
Auto,2022-11-28/2022-12-04,-0.02094320682973713,-0.026755711502973498,9,~1 Week
Auto,2022-12-05/2022-12-11,0.0009501947499389336,-0.027673088762631734,3,~2 Weeks
Auto,2022-12-19/2022-12-25,0.004852652269262199,0.007306743528583599,2,~1 Week
Auto,2023-01-02/2023-01-08,0.01229725296338465,0.005914930578066,1,~1 Week
Auto,2023-01-09/2023-01-15,0.011333384632889751,0.029985761191692103,2,1-2 Weeks
Auto,2023-01-16/2023-01-22,0.0339029970360756,0.05271676369511338,3,1-2 Weeks
Auto,2023-01-23/2023-01-29,0.022730148193122503,0.009778056248094,1,~1 Week
Auto,2023-02-06/2023-02-12,-0.0026201545509316666,-0.01687425886662295,3,~2 Weeks
Auto,2023-02-13/2023-02-19,-0.013384167424732717,-0.02656171268471393,3,1-2 Weeks
Auto,2023-02-20/2023-02-26,-0.00660854204527555,-0.02425392077940495,2,~2 Weeks
Auto,2023-02-27/2023-03-05,-0.0017892660126154897,-0.03356009548194159,3,~2 Weeks
Auto,2023-03-06/2023-03-12,-0.02474967069669995,-0.0335619275378686,1,~1 Week
Auto,2023-03-13/2023-03-19,-0.02491325401015805,-0.0351366837539124,1,~1 Week
Auto,2023-03-20/2023-03-26,0.02867706997708595,0.05384577260026775,1,1-2 Weeks
Auto,2023-03-27/2023-04-02,0.03587120284845565,0.05799141257384744,4,1-2 Weeks
Auto,2023-04-03/2023-04-09,0.024496825653659602,0.03684737217135475,1,~1 Week
Auto,2023-04-10/2023-04-16,-0.0072488346691165,0.0057879382029785015,2,~1 Week
Auto,2023-04-17/2023-04-23,-0.005641199292714775,0.03048569850354049,4,~2 Weeks
Auto,2023-04-24/2023-04-30,0.04330522713662595,0.0669922008068127,1,1-2 Weeks
Auto,2023-05-01/2023-05-07,0.0405309021024754,0.0281865368626712,1,~1 Week
Auto,2023-05-08/2023-05-14,-0.012037131497962737,0.0124742493679666,4,~1 Week
Auto,2023-05-15/2023-05-21,0.013653409127428733,0.029046022375344833,3,1-2 Weeks
Auto,2023-05-22/2023-05-28,0.01319503448159505,0.04143467363537375,2,~2 Weeks
Auto,2023-05-29/2023-06-04,0.039985144101591555,0.025829064265386,2,~1 Week
Auto,2023-06-12/2023-06-18,-0.0217793983886445,0.0150648145124685,1,~1 Week
Auto,2023-06-19/2023-06-25,0.03633865307913164,0.05099638918447089,3,~1 Week
Auto,2023-06-26/2023-07-02,0.0373628048155034,0.0284839185358827,1,~1 Week
Auto,2023-07-10/2023-07-16,0.004966590543391475,0.006003942938309624,2,~1 Week
Auto,2023-07-17/2023-07-23,0.01292356379053745,0.00828027680750515,1,~1 Week
Auto,2023-07-24/2023-07-30,-0.01246929502774235,-0.016796384021027698,1,~1 Week
Auto,2023-07-31/2023-08-06,-0.0043739067235319005,0.00156735731715975,1,~1 Week
